Timestamp;Angle_Jscope;AngleSpeed_Jscope;Current_Jscope
1802083;41916;1077000;854000
1804087;42643;1096000;855000
1806090;43297;1109000;857000
1808098;44010;1096000;859000
1810089;44734;1106000;860000
1812084;45390;1130000;862000
1814086;46107;1098000;864000
1816089;46815;1111000;865000
1818097;47622;1180000;867000
1820086;48254;1138000;868000
1822089;49056;1106000;870000
1824084;49759;1150000;872000
1826087;50548;1153000;873000
1828102;51286;1161000;875000
1830085;52021;1201000;876000
1832087;52752;1180000;878000
1834083;53504;1203000;880000
1836085;54265;1224000;881000
1838088;55058;1213000;883000
1840103;55907;1245000;884000
1842084;56643;1222000;886000
1844089;57434;1196000;887000
1846086;58234;1249000;889000
1848082;59004;1309000;890000
1850100;59832;1282000;892000
1852082;60660;1247000;893000
1854087;61509;1255000;895000
1856083;62272;1316000;896000
1858089;63112;1337000;898000
1860101;63979;1324000;899000
1862083;64784;1278000;901000
1864088;65610;1280000;902000
1866085;66523;1364000;904000
1868089;67291;1358000;905000
1870101;68210;1326000;907000
1872087;69028;1324000;908000
1874082;69886;1391000;909000
1876085;70830;1406000;911000
1878088;71660;1322000;912000
1880103;72493;1368000;914000
1882083;73432;1406000;915000
1884086;74341;1374000;916000
1886089;75211;1441000;918000
1888084;76106;1429000;919000
1890104;77047;1381000;920000
1892084;77910;1439000;922000
1894086;78854;1466000;923000
1896089;79772;1422000;924000
1898084;80711;1456000;926000
1900128;81650;1489000;927000
1902083;82591;1458000;928000
1904086;83482;1498000;930000
1906082;84455;1479000;931000
1908087;85450;1458000;932000
1910086;86336;1523000;933000
1912098;87307;1517000;935000
1914088;88286;1500000;936000
1916084;89264;1523000;937000
1918089;90180;1552000;938000
1920088;91205;1525000;939000
1922112;92127;1502000;941000
1924101;93159;1567000;942000
1926082;94140;1596000;943000
1928087;95134;1556000;944000
1930087;96143;1540000;945000
1932083;97144;1600000;946000
1934101;98134;1594000;948000
1936082;99186;1588000;949000
1938084;100169;1625000;950000
1940089;101224;1619000;951000
1942084;102212;1619000;952000
1944101;103264;1602000;953000
1946089;104344;1588000;954000
1948084;105313;1651000;955000
1950089;106349;1667000;956000
1952084;107446;1628000;957000
1954117;108473;1644000;958000
1956083;109509;1663000;959000
1958085;110547;1678000;960000
1960083;111630;1646000;961000
1962086;112747;1678000;962000
1964089;113737;1707000;963000
1966097;114870;1690000;964000
1968084;115913;1718000;965000
1970082;117014;1707000;966000
1972086;118129;1715000;967000
1974083;119186;1738000;968000
1976133;120338;1741000;969000
1978087;121386;1751000;970000
1980086;122496;1715000;971000
1982083;123664;1764000;972000
1984088;124746;1743000;972000
1986085;125854;1726000;973000
1988102;127001;1828000;974000
1990086;128086;1795000;975000
1992083;129240;1745000;976000
1994088;130390;1770000;977000
1996085;131551;1797000;977000
1998100;132640;1816000;978000
2000084;133843;1831000;979000
2002088;134972;1831000;980000
2004089;136156;1816000;980000
2006084;137340;1822000;981000
2008100;138494;1870000;982000
2010083;139713;1856000;983000
2012086;140810;1824000;983000
2014084;142061;1860000;984000
2016087;143217;1918000;985000
2018101;144401;1881000;985000
2020083;145607;1837000;986000
2022086;146786;1898000;986000
2024089;148028;1895000;987000
2026084;149205;1864000;988000
2028100;150447;1895000;988000
2030082;151611;1944000;989000
2032085;152878;1941000;989000
2034088;154095;1931000;990000
2036083;155314;1931000;990000
2038102;156563;1916000;991000
2040086;157784;1946000;991000
2042083;159021;1994000;992000
2044088;160270;1967000;992000
2046085;161554;1948000;993000
2048099;162785;1944000;993000
2050084;164015;1952000;994000
2052088;165280;2008000;994000
2054085;166511;2000000;995000
2056089;167771;2002000;995000
2058097;169073;2002000;995000
2060089;170332;2031000;996000
2062086;171618;1992000;996000
2064082;172885;1990000;996000
2066088;174164;2031000;997000
2068096;175480;2017000;997000
2070085;176759;2044000;997000
2072088;178038;2080000;998000
2074083;179336;2050000;998000
2076086;180649;2063000;998000
2078097;181975;2054000;998000
2080087;183288;2023000;999000
2082082;184595;2080000;999000
2084085;185900;2061000;999000
2086088;187197;2052000;999000
2088103;188562;2080000;999000
2090086;189829;2098000;999000
2092088;191182;2096000;1000000
2094083;192499;2092000;1000000
2096086;193838;2105000;1000000
2098116;195170;2140000;1000000
2100100;196544;2132000;1000000
2102088;197851;2094000;1000000
2104084;199259;2107000;1000000
2106089;200564;2117000;1000000
2108086;201912;2147000;1000000
2110102;203281;2163000;1000000
2112084;204616;2138000;1000000
2114089;205964;2134000;1000000
2116086;207384;2155000;1000000
2118082;208703;2178000;1000000
2120103;210116;2172000;1000000
2122085;211483;2165000;1000000
2124090;212885;2186000;999000
2126086;214268;2216000;999000
2128083;215676;2213000;999000
2130101;217045;2176000;999000
2132082;218461;2201000;999000
2134084;219856;2203000;999000
2136086;221253;2205000;998000
2138090;222638;2247000;998000
2140101;224030;2216000;998000
2142089;225434;2195000;998000
2144084;226864;2247000;997000
2146087;228270;2228000;997000
2148089;229697;2234000;997000
2150098;231131;2264000;996000
2152085;232623;2249000;996000
2154088;234066;2270000;996000
2156083;235415;2289000;995000
2158086;236906;2268000;995000
2160101;238283;2255000;994000
2162089;239767;2274000;994000
2164084;241183;2264000;993000
2166087;242666;2253000;993000
2168082;244107;2264000;992000
2170099;245589;2297000;992000
2172088;246995;2312000;991000
2174085;248446;2320000;991000
2176090;249905;2306000;990000
2178087;251399;2285000;990000
2180097;252870;2299000;989000
2182089;254306;2347000;988000
2184085;255828;2331000;988000
2186082;257239;2322000;987000
2188087;258710;2331000;986000
2190101;260209;2303000;986000
2192083;261673;2299000;985000
2194088;263139;2314000;984000
2196084;264634;2356000;984000
2198089;266079;2352000;983000
2200101;267573;2352000;982000
2202084;269077;2347000;981000
2204087;270582;2350000;980000
2206090;272088;2381000;980000
2208084;273538;2377000;979000
2210102;275106;2341000;978000
2212090;276580;2326000;977000
2214084;278074;2375000;976000
2216087;279543;2414000;975000
2218082;281034;2377000;974000
2220104;282559;2341000;973000
2222110;284071;2412000;972000
2224085;285595;2408000;971000
2226088;287092;2381000;970000
2228082;288628;2391000;969000
2230102;290159;2406000;968000
2232089;291665;2431000;967000
2234085;293161;2391000;966000
2236082;294681;2433000;965000
2238087;296230;2416000;964000
2240101;297775;2387000;962000
2242083;299269;2427000;961000
2244088;300803;2387000;960000
2246084;302392;2389000;959000
2248089;303870;2437000;958000
2250099;305406;2456000;956000
2252088;306962;2425000;955000
2254085;308512;2425000;954000
2256090;310068;2458000;952000
2258087;311576;2437000;951000
2260102;313168;2408000;950000
2262084;314680;2423000;948000
2264088;316209;2458000;947000
2266089;317745;2471000;946000
2268084;319290;2439000;944000
2270101;320865;2435000;943000
2272088;322378;2473000;941000
2274084;323974;2437000;940000
2276086;325500;2435000;938000
2278089;327077;2473000;937000
2280099;328639;2452000;935000
2282087;330168;2481000;934000
2284090;331780;2475000;932000
2286084;333304;2427000;930000
2288087;334870;2446000;929000
2290102;336433;2488000;927000
2292089;337939;2467000;925000
